OBJECTID,globalid,Shape_Length,Shape_Area,co2_per_ha,co2_per_px,tile_id
106,{B82A7455-59A7-4120-905E-A19C0515A334},4687427.6492,1369807392156.79,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/30N_110W_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/30N_110W_tCO2_pixel_AGB_masked_by_loss.tif,30N_110W
107,{BD7F32ED-5AE1-4DA7-986A-C91D02C4AB70},4687427.64899999,1369807392033.74,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/30N_120E_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/30N_120E_tCO2_pixel_AGB_masked_by_loss.tif,30N_120E
108,{387C49C3-DC06-47AB-BD82-CBA50838A3A3},4687427.64899999,1369807392033.74,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/30N_120W_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/30N_120W_tCO2_pixel_AGB_masked_by_loss.tif,30N_120W
109,{CA81A7F6-B4DA-4D82-A702-C056AB57A5EC},4687427.649,1369807392033.74,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/30N_160W_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/30N_160W_tCO2_pixel_AGB_masked_by_loss.tif,30N_160W
110,{F058375C-7679-45B0-A377-2D26A1D6C364},4951174.688,1516608322452.92,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/30S_010E_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/30S_010E_tCO2_pixel_AGB_masked_by_loss.tif,30S_010E
111,{05A67197-F2C6-4132-85E2-E469B4AAD951},4951174.6878,1516608322316.67,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/30S_020E_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/30S_020E_tCO2_pixel_AGB_masked_by_loss.tif,30S_020E
112,{D2AC7AE6-6304-446F-80DF-E2300C4C0906},4951174.68780001,1516608322316.68,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/30S_030E_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/30S_030E_tCO2_pixel_AGB_masked_by_loss.tif,30S_030E
113,{A031926B-2BB3-42C4-A436-A02C5865ECAC},4951174.6878,1516608322316.68,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/30S_060W_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/30S_060W_tCO2_pixel_AGB_masked_by_loss.tif,30S_060W
114,{6B6D095A-51B9-453C-85BA-3ACE5D94F622},4951174.6878,1516608322316.68,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/30S_070W_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/30S_070W_tCO2_pixel_AGB_masked_by_loss.tif,30S_070W
115,{1A28CAE9-509E-4F0D-8CD3-1D31A1323CF2},4951174.688,1516608322452.92,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/30S_080W_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/30S_080W_tCO2_pixel_AGB_masked_by_loss.tif,30S_080W
116,{8554972C-422D-4013-A2C6-3B33330D72AD},4951174.6878,1516608322316.67,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/30S_110E_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/30S_110E_tCO2_pixel_AGB_masked_by_loss.tif,30S_110E
117,{3973E7A7-AC5F-44AF-BF57-E666DDF7A0F4},4951174.6878,1516608322316.67,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/30S_120E_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/30S_120E_tCO2_pixel_AGB_masked_by_loss.tif,30S_120E
118,{E30ECEBC-C135-4CE7-8ACA-D4DE2D8B8ACE},4951174.688,1516608322452.92,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/30S_130E_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/30S_130E_tCO2_pixel_AGB_masked_by_loss.tif,30S_130E
119,{D9111F1C-DA65-448F-A9C7-C26BE48D236C},4951174.68780001,1516608322316.69,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/30S_140E_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/30S_140E_tCO2_pixel_AGB_masked_by_loss.tif,30S_140E
120,{28D16DC9-AE27-44D3-A291-393643223252},4951174.6878,1516608322316.67,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/30S_150E_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/30S_150E_tCO2_pixel_AGB_masked_by_loss.tif,30S_150E
121,{A9A81FCD-A2BD-43BD-A1A1-422EC631E46B},4951172.1366,1516606584448.88,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/30S_170E_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/30S_170E_tCO2_pixel_AGB_masked_by_loss.tif,30S_170E
